"","gender","languages_number","back_front_end"
"1","Кафельный",2,"Бек-энд"
"2","Мужской",1,"Бек-энд"
"3","Мужской",1,"Бек-энд"
"4","Мужской",3,"Фул-стек"
"5","Мужской",2,"Фул-стек"
"6","Мужской",6,"Бек-энд"
"7","Мужской",4,"Фул-стек"
"8","Мужской",3,"Фул-стек"
"9","Кафельный",3,"Бек-энд"
"10","Мужской",2,"Бек-энд"
"11","Мужской",3,"Фул-стек"
"12","Мужской",2,"Бек-энд"
"13","Мужской",2,"Бек-энд"
"14","Женский",2,"Бек-энд"
"15","Мужской",2,"Фронт-энд"
"16","Мужской",5,"Фул-стек"
"17","Кафельный",1,"Фул-стек"
"18","Мужской",2,"Бек-энд"
"19","Мужской",3,"Бек-энд"
"20","Кафельный",5,"Фул-стек"
"21","Мужской",2,"Фул-стек"
"22","Мужской",2,"Фул-стек"
"23","Мужской",2,"Бек-энд"
"24","Женский",2,"Бек-энд"
"25","Мужской",2,"Бек-энд"
"26","Женский",2,"Фул-стек"
"27","Женский",2,"Бек-энд"
"28","Мужской",2,"Фул-стек"
"29","Мужской",1,"Бек-энд"
"30","Женский",2,"Бек-энд"
"31","Мужской",3,"Бек-энд"
"32","Женский",2,"Фронт-энд"
"33","Кафельный",8,"Фул-стек"
"34","Мужской",6,"Фул-стек"
"35","Мужской",2,"Бек-энд"
"36","Кафельный",10,"Фул-стек"
"37","Мужской",1,"Бек-энд"
"38","Мужской",3,"Бек-энд"
"39","Мужской",2,"Бек-энд"
"40","Мужской",1,"Бек-энд"
"41","Кафельный",3,"Фул-стек"
"42","Мужской",5,"Фул-стек"
"43","Мужской",2,"Фул-стек"
"44","Мужской",3,"Бек-энд"
"45","Мужской",4,"Бек-энд"
"46","Мужской",1,"Фул-стек"
"47","Мужской",6,"Фронт-энд"
"48","Мужской",7,"Фул-стек"
"49","Мужской",2,"Фул-стек"
"50","Женский",1,"Фронт-энд"
"51","Кафельный",2,"Фул-стек"
"52","Мужской",6,"Фул-стек"
"53","Мужской",3,"Бек-энд"
"54","Мужской",4,"Бек-энд"
"55","Женский",3,"Бек-энд"
"56","Кафельный",2,"Фул-стек"
"57","Мужской",2,"Бек-энд"
"58","Мужской",7,"Фул-стек"
"59","Кафельный",7,"Бек-энд"
"60","Женский",5,"Бек-энд"
"61","Женский",4,"Фронт-энд"
"62","Мужской",7,"Бек-энд"
"63","Мужской",3,"Фул-стек"
"64","Женский",4,"Фул-стек"
"65","Мужской",7,"Фул-стек"
"66","Мужской",6,"Фронт-энд"
"67","Женский",6,"Фронт-энд"
"68","Мужской",4,"Фул-стек"
"69","Мужской",2,"Фул-стек"
"70","Мужской",3,"Фул-стек"
"71","Мужской",3,"Фул-стек"
"72","Кафельный",7,"Фул-стек"
"73","Мужской",1,"Фронт-энд"
"74","Мужской",4,"Фул-стек"
"75","Мужской",2,"Фул-стек"
"76","Мужской",2,"Фул-стек"
"77","Мужской",7,"Фул-стек"
"78","Мужской",3,"Бек-энд"
"79","Мужской",2,"Фул-стек"
"80","Мужской",2,"Бек-энд"
"81","Мужской",4,"Фул-стек"
"82","Мужской",2,"Бек-энд"
"83","Мужской",5,"Фул-стек"
"84","Мужской",4,"Бек-энд"
"85","Женский",5,"Бек-энд"
"86","Мужской",4,"Бек-энд"
"87","Мужской",3,"Фул-стек"
"88","Мужской",5,"Бек-энд"
"89","Мужской",5,"Фронт-энд"
"90","Мужской",9,"Фронт-энд"
"91","Мужской",7,"Бек-энд"
"92","Женский",3,"Фронт-энд"
"93","Мужской",4,"Бек-энд"
"94","Мужской",3,"Фул-стек"
"95","Мужской",3,"Фронт-энд"
"96","Женский",2,"Фронт-энд"
"97","Мужской",2,"Бек-энд"
"98","Мужской",3,"Бек-энд"
"99","Мужской",4,"Фронт-энд"
"100","Мужской",1,"Бек-энд"
"101","Кафельный",3,"Фронт-энд"
"102","Мужской",2,"Фул-стек"
"103","Мужской",1,"Бек-энд"
"104","Мужской",3,"Фул-стек"
"105","Мужской",3,"Фронт-энд"
"106","Мужской",5,"Фул-стек"
"107","Женский",4,"Фронт-энд"
"108","Мужской",6,"Фул-стек"
"109","Мужской",2,"Бек-энд"
"110","Мужской",3,"Фул-стек"
"111","Мужской",2,"Фул-стек"
